Unnamed: 0,Sobreviventes,Status socioeconômico,Gênero das pessoas,Idade das pessoas,Relação familiar de irmãos e cônjuge,Relação familiar de pais e filhos,Tarifa do passageiro,Porto de embarcação,Número da classe social,"Homem, Mulher ou Criança",Homem adulto,Convés,Cidade de embarcação,Pessoas vivas,Pessoas sozinhas
0,morto,3,Masculino,22.0,1,0,7.25,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
1,vivo,1,Feminino,38.0,1,0,71.2833,Cherbourg,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de refeição,Cherbourg,Sim,Não
2,vivo,3,Feminino,26.0,0,0,7.925,Southampton,Terceira Classe,Mulher,Não,,Southampton,Sim,Sim
3,vivo,1,Feminino,35.0,1,0,53.1,Southampton,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de refeição,Southampton,Sim,Não
4,morto,3,Masculino,35.0,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
5,morto,3,Masculino,,0,0,8.4583,Queenstown,Terceira Classe,Homem,Sim,,Queenstown,Não,Sim
6,morto,1,Masculino,54.0,0,0,51.8625,Southampton,Primeira Classe,Homem,Sim,Convés Segunda Classe e áreas de serviço,Southampton,Não,Sim
7,morto,3,Masculino,2.0,3,1,21.075,Southampton,Terceira Classe,Criança,Não,,Southampton,Não,Não
8,vivo,3,Feminino,27.0,0,2,11.1333,Southampton,Terceira Classe,Mulher,Não,,Southampton,Sim,Não
9,vivo,2,Feminino,14.0,1,0,30.0708,Cherbourg,Segunda Classe,Criança,Não,,Cherbourg,Sim,Não
10,vivo,3,Feminino,4.0,1,1,16.7,Southampton,Terceira Classe,Criança,Não,Convés Terceira Classe e áreas de serviço para tripulação,Southampton,Sim,Não
11,vivo,1,Feminino,58.0,0,0,26.55,Southampton,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de refeição,Southampton,Sim,Sim
12,morto,3,Masculino,20.0,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
13,morto,3,Masculino,39.0,1,5,31.275,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
14,morto,3,Feminino,14.0,0,0,7.8542,Southampton,Terceira Classe,Criança,Não,,Southampton,Não,Sim
15,vivo,2,Feminino,55.0,0,0,16.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Sim
16,morto,3,Masculino,2.0,4,1,29.125,Queenstown,Terceira Classe,Criança,Não,,Queenstown,Não,Não
17,vivo,2,Masculino,,0,0,13.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Sim,Sim
18,morto,3,Feminino,31.0,1,0,18.0,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Não
